Categoría,Alimento,Producto,Empresa
Bebidas y jugos,Bebida de fantasía,"Crush botella vidrio retornable 350cc, 237cc, 1 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz botella retornable 2,5lt, 2 lt, 1,5 lt, 1,25 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz botella desechable 3 lt, 1,75 lt, 2,5 lt, 2 lt, 1,5 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz botella desechable 500 cc, 600 cc, 500 cc (botella huevo),
250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz lata 310 cc, 350 cc, 250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz botella vidrio 1,25 lt, 300 cc, 1 lt, 350 cc, 237 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz Zero botella desechable 3 lt, 1,75 lt, 2 lt, 1,5 lt, 500 cc, 600
cc, 500 cc (botella huevo), 2,5 lt, 250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Bilz Zero botella retornable 2,5 lt, 1,25 lt",CCU
Bebidas y jugos,Bebida de fantasía,Bilz Zero botella vidrio 350 cc,CCU
Bebidas y jugos,Bebida de fantasía,Bilz Zero lata 350 cc,CCU
Bebidas y jugos,Bebida de fantasía,"Pap botella rertrornable 2,5 lt, 2 lt, 1,5 lt, 1,25 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Pap botella desechable 1,75 lt, 3 lt, 2,5 lt, 2 lt, 1,5 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Pap botella desechable 500 cc, 500 cc (botella huevo), 600 cc,
250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Pap ,ata 310 cc, 350 cc, 250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"PAP, botella vidrio retornable 1,25 lt, 300 cc, 1 lt, 350 cc, 237 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Pap Zero botella desechable 3 lt, 2 lt, 2,5 lt, 1,5 lt, 500 cc (botella
huevo), 500 cc, 600 cc, 250 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Pap Zero botella retornable 2,5 lt, 1,25 lt",CCU
Bebidas y jugos,Bebida de fantasía,Pap Zero botella vidrio 350 cc,CCU
Bebidas y jugos,Bebida de fantasía,Pap Zero lata 350 cc,CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña botella desechable 3 lt, 2,5 lt, 1,75 lt, 2 lt, 500 cc, 600
cc, 250 cc, 1,5 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña plastico retornable 2,5 lt, 2 lt, 1,5 lt, 1,25 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña vidrio retornable 1,25 lt, 1 lt, 350 cc, 237 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña lata 350 cc, 250 cc, 310 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña Zero botella desechable 3 lt, 1,5 lt, 2 lt, 2,5 lt, 500 cc,
600 cc",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Piña Zero botella retornable 2,5 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Kem Xtreme botella desechable 1,5 lt, 500 cc, 600 cc",CCU
Bebidas y jugos,Bebida de fantasía,Kem Xtreme lata 350 cc,CCU
Bebidas y jugos,Bebida de fantasía,"Kem Xreme Sugar Free botella desechable 500 cc, 600 cc, 1,5 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Limón Soda Zero lata 310 cc, 350 cc",CCU
Bebidas y jugos,Bebida de fantasía,Limón Soda Zero botella retornable 2 lt,CCU
Bebidas y jugos,Bebida de fantasía,"Limon Soda Zero botella desechable 500 cc, 600 cc, 1,5 lt, 1,75
lt, 2 lt, 2,5 lt, 3 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Nobis Piña botela desechable 2lt, 3 lt",CCU
Bebidas y jugos,Bebida de fantasía,"Limón Soda botella retornable 1,25 lt, 1,5lt, 2lt, 2.5lt",CCU
Bebidas y jugos,Bebida de fantasía,"Limón Soda botella no retornable 250ml, 500ml, 600ml, 1,5lt,
1,75lt, 2lt, 2.5lt, 3lt",CCU
Bebidas y jugos,Bebida de fantasía,"Limón Soda vidrio retornable 1lt, 350ml, 237ml, 1.25lt",CCU
Bebidas y jugos,Bebida de fantasía,"Limón Soda lata 350ml, 310ml",CCU
Bebidas y jugos,Bebida de fantasía,Nobis naranja botella desechable 2lt y 3 lt,CCU
Bebidas y jugos,Refresco de Té,"Lipton Limón, lata 310ml, botella desechable 600mll y 1.5lt",CCU
Bebidas y jugos,Refresco de Té,"Lipton Durazno, lata 310ml, botella desechable 600ml y 1.5lt",CCU
Bebidas y jugos,Refresco de Té,"Lipton Te verde, botella desechable 600ml y 1.5Lt",CCU
Bebidas y jugos,Refresco de Té,"Lipton Raspberry, botella desechable 600cc y 1.5lt",CCU
Bebidas y jugos,Jugo de fruta natural,"Jugo de Naranja, 100% jugo fresco, 250 ml, 1 litro y 3 litros",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo Mango-Naranja, 250 ml y 1 litro",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo de Mandarina 100% jugo fresco,250 ml, 1 litro y 3 litros",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo de Pomelo 100% jugo fresco,250 ml y1 litro",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo de Pera, 250 ml y 3 litros",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo de Frambuesa sin azúcar, 250ml",Sofruco
Bebidas y jugos,Jugo de fruta natural,"Jugo Pura Frutta manzana verde, 1LT","PURA FRUTTA - Importado
por Cencosud"
Bebidas y jugos,Jugo de fruta natural,"Jugo Pura Frutta Manzana roja, 1LT","PURA FRUTTA - Importado
por Cencosud"
Bebidas y jugos,Jugo de fruta natural,"Jugo Pura Frutta Blend Detox, 1LT","PURA FRUTTA - Importado
por Cencosud"
Bebidas y jugos,Jugo de fruta natural,"Jugo Pura Frutta Kiwi Manzana, 1LT","PURA FRUTTA - Importado
por Cencosud"
Bebidas y jugos,Agua saborizada,"NEXT Agua Frambuesa 1,5Lt",Soprole
Bebidas y jugos,Agua saborizada,"NEXT Agua Limón 1,5Lt, 500ml",Soprole
Bebidas y jugos,Agua saborizada,"Mas Pera, 1.6lt, 600ml y 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Manzana, 1.6lt, 600ml, 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Uva, 600cc, 1.6lt, 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Piña, 600ml, 1.6lt, 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Limonada Jengibre, 600cc, 1.6lt, 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Citrus 600cc, 1.6lt, 2lt, lata 310cc",CCU
Bebidas y jugos,Agua saborizada,"Mas Woman Balance, 1.6lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Mango Maracuyá, 600ml, 1.6lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Granada, botella desechable 1.6 lt, 600cc. 2lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Aloe Vera 600cc, 1.6 lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Woman Beauty Skin 1,6 lt",CCU
Bebidas y jugos,Agua saborizada,"Mas Limonada Frambuesa 600cc, 1.6lt",CCU
Bebidas y jugos,Agua sin gas,"NEXT Agua s/ sabor Sin Gas 1,5Lt, 500ml",Soprole
Bebidas y jugos,Jugo Aloe vera,Bebida Aloe Vera King MANGO sin azúcar 0.5L,"OKF - Importado por
Concosud"
Bebidas y jugos,Jugo Aloe vera,Bebida Aloe Vera King GRANADA sin azúcar 0.5L,"OKF - Importado por
Concosud"
Bebidas y jugos,Jugo Aloe vera,Bebida Aloe Vera King PIÑA sin azúcar 0.5L,"OKF - Importado por
Concosud"
Bebidas y jugos,Jugo Aloe vera,Bebida Aloe Vera King ORIGINAL sin azúcar 0.5L,"OKF - Importado por
Concosud"
Bebidas y jugos,Bebida analcohólica,"H2ONEY sabor Quillay (gasificada), lata 250ml",Estación H2ONEY
Bebidas y jugos,Bebida analcohólica,"H2ONEY sabor Ulmo (gasificada), lata 250 ml",Estación H2ONEY
Bebidas y jugos,Bebida Isotónica,"Gatorade Naranja zero, 500cc y 1lt",CCU
Bebidas y jugos,Bebida Isotónica,"Gatorade Blue berry zero, 500cc y 1lt",CCU
Bebidas y jugos,Bebida Isotónica,"Gatorade Cool blue, 500cc, 750cc y 1lt",CCU
Bebidas y jugos,Bebida Isotónica,"Gatorade Frutas tropicales, 500cc, 750cc, 1lt",CCU
Bebidas y jugos,Bebida Isotónica,"Gatorade Maracuyá, 1lt",CCU
"Aderezos, Salsas y Aliños",Mayonesa,"Mayonesa casera YBARRA sin gluten y sin lactosa, 426gr","Ybarra - importado por
Cencosud"
"Aderezos, Salsas y Aliños",Mayonesa,"Mayonesa liviana YBARRA sin gluten y sin lactosa, 445gr","Ybarra - importado por
Cencosud"
"Aderezos, Salsas y Aliños",Salsa,"Salsa Tomate Frito orgánico marca HELIOS, 300G",Helios - Importa Cencosud
"Aderezos, Salsas y Aliños",Salsa,"Salsa Passage to India siri Lanka coco cajun, 375 g","Passage foods - Importa
Cencosud"
